Nº PC;CodFornecedor;Valor;Vencimento
513767;013239;2500,00;28
513759;016008;220,00;28
513796;007424;1385,97;28
513768;022033;3869,76;28
513842;008436;485,00;28
513799;017076;2431,90;28
513766;004643;2480,00;28
513782;004643;1300,00;28
513807;004643;316,38;28
513808;004643;300,28;28
513769;013196;10314,00;28
513838;004838;10370,00;28
513800;027507;2714,04;28
513783;005239;1229,86;28
513770;019170;10998,17;28
513764;012088;1570,52;28
513765;012049;190,00;28
513798;002634;1704,40;28
513771;002080;25666,20;28
513786;011823;9204,00;20
513763;008827;1897,22;28
513774;003783;23400,00;28
513784;023451;15870,43;28
513773;020362;7621,37;28
513787;025376;6495,50;28
513804;025376;16235,13;20
513806;025376;16235,13;20
513840;025376;14571,63;20
513761;023344;1000,00;28
513785;025918;3395,00;28
513841;025373;12000,00;28
513760;011674;250,00;28
513775;023966;1281,00;28
513776;015936;12478,19;28
513777;015936;5548,00;28
513797;001400;4441,46;28
513779;005700;1149,75;28
513780;019112;11180,00;28
513781;016977;3900,00;28
513762;016011;1152,07;28
513801;011790;857,94;28
513802;011790;1459,74;28
513803;011790;1459,74;28
